Camp Name,Date Range,Days,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Private 15-min,Starts 5/11/2026,Monday,4:45 PM,Private 15-min,4:45 PM – 5:00 PM,1,1,0,1:1
Clownfish,,Monday,5:00 PM,Clownfish (Beginner),5:00 PM – 5:30 PM,3,3,0,3:1
Dolphin,Starts 5/11/2026,Monday,5:00 PM,Dolphin (Intermediate),5:00 PM – 5:30 PM,4,4,0,4:1
Guppy,,Monday,5:00 PM,Guppy (Beginner),5:00 PM – 5:30 PM,2,3,1,3:1
Guppy,Starts 5/11/2026,Monday,5:00 PM,Guppy (Beginner),5:00 PM – 5:30 PM,3,3,0,3:1
Tiger,,Monday,5:00 PM,Tiger (Intermediate),5:00 PM – 5:30 PM,3,4,1,4:1
Private 15-min,,Monday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Monday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Private 30-min,,Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Private 30-min,,Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Private 15-min,,Monday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Monday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,1,1,0,1:1
Private 15-min,,Monday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,0,1,1,1:1
Dolphin,Starts 5/26/2026,Monday,5:30 PM,Dolphin (Intermediate),5:30 PM – 6:00 PM,3,4,1,4:1
Guppy,Starts 5/26/2026,Monday,5:30 PM,Guppy (Beginner),5:30 PM – 6:00 PM,2,3,1,3:1
Private 15-min,Starts 5/11/2026,Monday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 15-min,,Monday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 15-min,,Monday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 30-min,,Monday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Private 30-min,Starts 5/26/2026,Monday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Monday,5:45 PM,Private 15-min,5:45 PM – 6:00 PM,1,1,0,1:1
Private 15-min,,Monday,5:45 PM,Private 15-min,5:45 PM – 6:00 PM,1,1,0,1:1
Clownfish,,Monday,6:00 PM,Clownfish (Beginner),6:00 PM – 6:30 PM,3,3,0,3:1
Dolphin,,Monday,6:00 PM,Dolphin (Intermediate),6:00 PM – 6:30 PM,3,4,1,4:1
Dolphin,Starts 5/11/2026,Monday,6:00 PM,Dolphin (Intermediate),6:00 PM – 6:30 PM,4,4,0,4:1
Guppy,,Monday,6:00 PM,Guppy (Beginner),6:00 PM – 6:30 PM,3,3,0,3:1
Guppy,Starts 5/11/2026,Monday,6:00 PM,Guppy (Beginner),6:00 PM – 6:30 PM,1,3,2,3:1
Tiger,,Monday,6:00 PM,Tiger (Intermediate),6:00 PM – 6:30 PM,4,4,0,4:1
Private 15-min,,Monday,6:00 PM,Private 15-min,6:00 PM – 6:15 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Monday,6:00 PM,Private 15-min,6:00 PM – 6:15 PM,1,1,0,1:1
Private 30-min,,Monday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Private 30-min,Starts 5/11/2026,Monday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,1,1,0,1:1
Private 30-min,,Monday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Private 15-min,,Monday,6:15 PM,Private 15-min,6:15 PM – 6:30 PM,1,1,0,1:1
Private 15-min,,Monday,6:15 PM,Private 15-min,6:15 PM – 6:30 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Monday,6:15 PM,Private 15-min,6:15 PM – 6:30 PM,1,1,0,1:1
Dolphin,,Monday,6:30 PM,Dolphin (Intermediate),6:30 PM – 7:00 PM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,6:30 PM,Guppy (Beginner),6:30 PM – 7:00 PM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,6:30 PM,Private 15-min,6:30 PM – 6:45 PM,1,1,0,1:1
Private 30-min,,Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,6:45 PM,Private 15-min,6:45 PM – 7:00 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Monday,7:00 PM,Private 15-min,7:00 PM – 7:15 PM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Thursday,8:30 AM,Dolphin (Intermediate),8:30 AM – 9:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Thursday,8:30 AM,Guppy (Beginner),8:30 AM – 9:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Thursday,8:30 AM,Private 15-min,8:30 AM – 8:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Thursday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,8:45 AM,Private 15-min,8:45 AM – 9:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Thursday,9:00 AM,Dolphin (Intermediate),9:00 AM – 9:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Thursday,9:00 AM,Guppy (Beginner),9:00 AM – 9:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Thursday,9:00 AM,Private 15-min,9:00 AM – 9:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Thursday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,1,1,0,1:1
Private 30-min,,Thursday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Thursday,9:15 AM,Private 15-min,9:15 AM – 9:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Thursday,9:30 AM,Dolphin (Intermediate),9:30 AM – 10:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Thursday,9:30 AM,Guppy (Beginner),9:30 AM – 10:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Thursday,9:30 AM,Private 15-min,9:30 AM – 9:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Thursday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,9:45 AM,Private 15-min,9:45 AM – 10:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Thursday,10:00 AM,Dolphin (Intermediate),10:00 AM – 10:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Thursday,10:00 AM,Guppy (Beginner),10:00 AM – 10:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Thursday,10:00 AM,Private 15-min,10:00 AM – 10:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Thursday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,10:15 AM,Private 15-min,10:15 AM – 10:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Thursday,10:30 AM,Dolphin (Intermediate),10:30 AM – 11:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Thursday,10:30 AM,Guppy (Beginner),10:30 AM – 11:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Thursday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Thursday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,10:45 AM,Private 15-min,10:45 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,3:00 PM,Private 15-min,3:00 PM – 3:15 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Thursday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,3:15 PM,Private 15-min,3:15 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Thursday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,1,1,0,1:1
Private 30-min,,Thursday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
