Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Tuesday,4:45 PM,Backfloat Baby 1 (BB1),4:45 PM – 5:15 PM,3,5,2,5:1
Tuesday,6:15 PM,Backfloat Baby 1 (BB1),6:15 PM – 6:45 PM,5,5,0,5:1
Tuesday,10:00 AM,Backfloat Baby 2 (BB2),10:00 AM – 10:30 AM,1,5,4,5:1
Tuesday,5:15 PM,Backfloat Baby 2 (BB2),5:15 PM – 5:45 PM,4,5,1,5:1
Tuesday,10:30 AM,Backfloat Baby 3 (BB3),10:30 AM – 11:00 AM,4,5,1,5:1
Tuesday,9:00 AM,Little 1 (L1),9:00 AM – 9:30 AM,3,3,0,3:1
Tuesday,9:30 AM,Little 1 (L1),9:30 AM – 10:00 AM,2,3,1,3:1
Tuesday,10:30 AM,Little 1 (L1),10:30 AM – 11:00 AM,3,3,0,3:1
Tuesday,4:15 PM,Little 1 (L1),4:15 PM – 4:45 PM,3,3,0,3:1
Tuesday,4:30 PM,Little 1 (L1),4:30 PM – 5:00 PM,2,3,1,3:1
Tuesday,4:45 PM,Little 1 (L1),4:45 PM – 5:15 PM,2,3,1,3:1
Tuesday,5:00 PM,Little 1 (L1),5:00 PM – 5:30 PM,2,3,1,3:1
Tuesday,5:15 PM,Little 1 (L1),5:15 PM – 5:45 PM,1,3,2,3:1
Tuesday,5:45 PM,Little 1 (L1),5:45 PM – 6:15 PM,1,3,2,3:1
Tuesday,6:15 PM,Little 1 (L1),6:15 PM – 6:45 PM,2,3,1,3:1
Tuesday,10:00 AM,Little 2 (L2),10:00 AM – 10:30 AM,4,4,0,4:1
Tuesday,11:00 AM,Little 2 (L2),11:00 AM – 11:30 AM,3,4,1,4:1
Tuesday,4:00 PM,Little 2 (L2),4:00 PM – 4:30 PM,2,4,2,4:1
Tuesday,6:00 PM,Little 2 (L2),6:00 PM – 6:30 PM,1,4,3,4:1
Tuesday,10:15 AM,Little 3 (L3),10:15 AM – 10:45 AM,3,4,1,4:1
Tuesday,4:30 PM,Little 3 (L3),4:30 PM – 5:00 PM,2,4,2,4:1
Tuesday,6:30 PM,Little 3 (L3),6:30 PM – 7:00 PM,2,4,2,4:1
Tuesday,10:45 AM,Middle 1 (M1),10:45 AM – 11:15 AM,1,3,2,3:1
Tuesday,4:00 PM,Middle 1 (M1),4:00 PM – 4:30 PM,2,3,1,3:1
Tuesday,4:30 PM,Middle 1 (M1),4:30 PM – 5:00 PM,2,3,1,3:1
Tuesday,5:00 PM,Middle 1 (M1),5:00 PM – 5:30 PM,2,3,1,3:1
Tuesday,5:00 PM,Middle 1 (M1),5:00 PM – 5:30 PM,3,3,0,3:1
Tuesday,5:30 PM,Middle 1 (M1),5:30 PM – 6:00 PM,2,3,1,3:1
Tuesday,6:00 PM,Middle 1 (M1),6:00 PM – 6:30 PM,2,3,1,3:1
Tuesday,6:30 PM,Middle 1 (M1),6:30 PM – 7:00 PM,1,3,2,3:1
Tuesday,5:30 PM,Little 4 (L4),5:30 PM – 6:00 PM,3,4,1,4:1
Tuesday,5:30 PM,Middle 3 (M3),5:30 PM – 6:00 PM,1,4,3,4:1
Tuesday,6:30 PM,Middle 3 (M3),6:30 PM – 7:00 PM,4,4,0,4:1
Tuesday,4:30 PM,Middle 2 (M2),4:30 PM – 5:00 PM,1,4,3,4:1
Tuesday,6:30 PM,Middle 2 (M2),6:30 PM – 7:00 PM,2,4,2,4:1
Tuesday,5:30 PM,Big 3 (B3),5:30 PM – 6:00 PM,3,4,1,4:1
Tuesday,4:15 PM,Big 1 (B1),4:15 PM – 4:45 PM,2,3,1,3:1
Tuesday,4:45 PM,Big 1 (B1),4:45 PM – 5:15 PM,3,3,0,3:1
Tuesday,5:15 PM,Big 1 (B1),5:15 PM – 5:45 PM,1,3,2,3:1
Tuesday,5:45 PM,Big 1 (B1),5:45 PM – 6:15 PM,2,3,1,3:1
Tuesday,6:00 PM,Big 1 (B1),6:00 PM – 6:30 PM,3,3,0,3:1
Tuesday,5:00 PM,Big 2 (B2),5:00 PM – 5:30 PM,4,4,0,4:1
Tuesday,4:30 PM,10+2 (10+2),4:30 PM – 5:00 PM,2,4,2,4:1
Tuesday,4:00 PM,10+1 (10+1),4:00 PM – 4:30 PM,3,4,1,4:1
Tuesday,5:45 PM,10+1 (10+1),5:45 PM – 6:15 PM,2,4,2,4:1
Tuesday,9:15 AM,Adult 2 (A2),9:15 AM – 9:45 AM,3,4,1,4:1
Tuesday,6:00 PM,Adult 2 (A2),6:00 PM – 6:30 PM,4,4,0,4:1
Tuesday,6:15 PM,Adult 2 (A2),6:15 PM – 6:45 PM,1,4,3,4:1
