Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Saturday,10:30 AM,Big 4 (B4),10:30 AM – 11:15 AM,2,6,4,6:1
Saturday,11:15 AM,Big 4 (B4),11:15 AM – 12:00 PM,6,6,0,6:1
Saturday,9:00 AM,Big 2 (B2),9:00 AM – 9:30 AM,3,4,1,4:1
Saturday,10:00 AM,Big 6 (B6),10:00 AM – 11:15 AM,8,10,2,10:1
Saturday,10:00 AM,10+1 (10+1),10:00 AM – 10:30 AM,2,4,2,4:1
Sunday,11:30 AM,Private Lesson (PV),11:30 AM – 12:00 PM,0,1,1,1:1
Sunday,9:15 AM,Private Lesson (PV),9:15 AM – 9:45 AM,1,1,0,1:1
Monday,4:15 PM,Private Lesson (PV),4:15 PM – 4:45 PM,0,1,1,1:1
Monday,6:30 PM,Private Lesson (PV),6:30 PM – 7:00 PM,0,1,1,1:1
Monday,6:45 PM,Private Lesson (PV),6:45 PM – 7:15 PM,0,1,1,1:1
Monday,7:00 PM,Private Lesson (PV),7:00 PM – 7:30 PM,0,1,1,1:1
Tuesday,9:45 AM,Private Lesson (PV),9:45 AM – 10:15 AM,0,1,1,1:1
Tuesday,5:30 PM,Private Lesson (PV),5:30 PM – 6:00 PM,0,1,1,1:1
Tuesday,6:45 PM,Private Lesson (PV),6:45 PM – 7:15 PM,0,1,1,1:1
Tuesday,11:45 AM,Private Lesson (PV),11:45 AM – 12:15 PM,1,1,0,1:1
Wednesday,5:45 PM,Private Lesson (PV),5:45 PM – 6:15 PM,0,1,1,1:1
Wednesday,7:00 PM,Private Lesson (PV),7:00 PM – 7:30 PM,0,1,1,1:1
Thursday,4:15 PM,Private Lesson (PV),4:15 PM – 4:45 PM,1,1,0,1:1
Saturday,9:00 AM,Private Lesson (PV),9:00 AM – 9:30 AM,0,1,1,1:1
Saturday,9:30 AM,Private Lesson (PV),9:30 AM – 10:00 AM,0,1,1,1:1
Saturday,9:30 AM,Private Lesson (PV),9:30 AM – 10:00 AM,0,1,1,1:1
Saturday,11:00 AM,Private Lesson (PV),11:00 AM – 11:30 AM,0,1,1,1:1
